"Street_Name","Cross_Street"
"Massachusetts Ave","Rindge Ave"
"Cambridge St","SCIARAPPA ST"
"Coolidge Ave",""
"Western Ave","HOWARD ST"
"MAGAZINE ST","PRINCE ST"
"River St","Putnam Ave"
"SHERMAN ST",""
"Clinton St",""
"Massachusetts Ave","EVERETT ST"
"Rogers St","FIRST ST"
"Cambridge St",""
"Massachusetts Ave","DUDLEY ST"
"HENRY ST","PEARL ST"
"Belmont St",""
"Hampshire St","ELM ST"
"GRANITE ST",""
"Ames St",""
"MEAD ST",""
"MAGNOLIA AVE",""
"Wheeler St",""
"Massachusetts Ave","Shepard St"
"Peabody St","Massachusetts Ave"
"Inman St","Broadway"
"Western Ave","Franklin St"
"Cambridge St","Hampshire St"
"Massachusetts Ave",""
"Shepard St",""
"Cambridge St","Cardinal Medeiros Ave"
"Chestnut St","MAGAZINE ST"
"Broadway",""
"HARVARD ST","QUINCY ST"
"Monsignor OBrien Hwy",""
"STANDISH ST","HURON AVE"
"Albany St",""
"Massachusetts Ave",""
"Cambridge St","QUINCY ST"
"York St",""
"Walker St",""
"SPRING ST","Sixth St"
"SUFFOLK ST","Columbia St"
"PEARL ST","Franklin St"
"Magee St","Putnam Ave"
"Winter St",""
"Bennett St",""
"Putnam Ave","PLEASANT ST"
"HOWARD ST",""
"Hampshire St","ELM ST"
"FLORENCE ST","MAGAZINE ST"
"Cogswell Ave",""
"OXFORD AVE","Wendell St"
"MAGAZINE ST",""
"MAGAZINE ST","Upton St"
"GARDEN ST","Concord Ave"
"Windsor St",""
"Massachusetts Ave","HANCOCK ST"
"Massachusetts Ave","Sidney St"
"MOUNT AUBURN ST","Brattle St"
"Vassar St","MEMORIAL DR"
"Columbia St","Cambridge St"
"Alewife Brook Pky","Whittemore Ave"
"MERCER CIR","Sparks St"
"Binney St",""
"Hampshire St",""
"Broadway","Windsor St"
"Massachusetts Ave","Washburn Ave"
"Richdale Ave",""
"Washington Ave",""
"Sacramento St",""
"Dewolfe St","GRANT ST"
"Vassar St","Massachusetts Ave"
"HURON AVE","Chilton St"
"SUMNER RD",""
"MEMORIAL DR",""
"KIRKLAND ST",""
"Hampshire St",""
"Columbia St",""
"Massachusetts Ave","Albany St"
"Massachusetts Ave","Landsdowne St"
"Walden St","Wood St"
"Cambridge St",""
"Binney St","Broadway"
"Third St","Otis St"
"HOLWORTHY ST",""
"Alewife Brook Pky",""
"OXFORD AVE","EVERETT ST"
"White St","Porter Sq"
"White St",""
"Windsor St",""
7,"Lawn St"
"Jackson St","DUDLEY ST"
"Broadway",""
"MOUNT AUBURN ST","Putnam Ave"
"Broadway","Galileo Galilei Way"
"Raymond St","HURON AVE"
"OXFORD AVE",""
"MASON ST","GARDEN ST"
"Concord Ave","Buckingham St"
"SCIARAPPA ST","Otis St"
"Broadway","Galileo Galilei Way"
"Galileo Galilei Way","Broadway"
"MAGAZINE ST","Auburn St"
"Massachusetts Ave","Waterhouse St"
"SHERMAN ST","Cadbury Rd"
"ESSEX ST","Bishop Allen Dr"
"Cambridge St","Windsor St"
"Western Ave","Massachusetts Ave"
"Cambridge St","ELM ST"
"Cambridge St",""
"Lawn St","OXFORD AVE"
"ELIOT ST","JFK St"
"QUINCY ST","HARVARD ST"
"Windsor St","Cambridge St"
"MAGAZINE ST","Allston St"
"Broadway","Ware St"
"Hampshire St",""
"MEMORIAL DR",""
"DAVENPORT ST",""
"Windsor St",""
"SUFFOLK ST",""
"Cambridge Ctr","Broadway"
"GARDEN ST","LINNAEAN ST"
"MOUNT AUBURN ST",""
"Porter Sq",""
"Massachusetts Ave","Vassar St"
"Massachusetts Ave","Hollis St"
"Third St","HURLEY ST"
"MOUNT AUBURN ST","Massachusetts Ave"
"HARVARD ST","HANCOCK ST"
"MOUNT AUBURN ST","Bennett St"
"Walden St","SAVILLE ST"
"Second St","Charles St"
"Inman St",""
"JFK St","MOUNT AUBURN ST"
"MOUNT AUBURN ST","Sparks St"
"Broadway","FELTON ST"
"Broadway","Antrim St"
"Massachusetts Ave",""
"Coolidge Ave",""
"Inman St",""
"MASON ST","PHILLIPS PL"
"LINNAEAN ST","Avon Hill St"
"MACARELLI WAY","MARION ST"
"Appleton St","HIGHLAND AVE"
"SMITH PL",""
"Massachusetts Ave",""
"KIRKLAND ST","MYRTLE AVE"
"Massachusetts Ave","DOUGLASS ST"
"STEARNS ST",""
"PLEASANT ST",""
"River St","Franklin St"
"HURON AVE",""
"Cambridge St","HOVEY AVE"
"Magee St",""
"Cambridge St","Columbia St"
"PROSPECT ST",""
"QUINCY ST","Cambridge St"
"Brattle St","Sparks St"
"MAIN ST","Osborn St"
"FIRST ST","Binney St"
"Brattle St","Appian Way"
"DOUGLASS ST","Massachusetts Ave"
"Inman St","Massachusetts Ave"
"MOUNT AUBURN ST",""
"Brookline St",""
"Callender St","Magee St"
