"id","Month","Day","Year","Time","AM/PM","Day_of_Week","Object_1","Object_2","Street_Number","Street_Name","Cross_Street","Location"
24071,4,18,2010,"01:00:00","AM","Sunday","Auto","Auto","","Hampshire St","Union St"," Hampshire St & Union St Cambridge, MA"
25268,1,2,2011,"01:00:00","AM","Sunday","Auto","Parked Vehicle",28,"Clarendon Ave","","28 Clarendon Ave Cambridge, MA"
25610,2,21,2011,"01:00:00","AM","Monday","Auto","Auto","","Massachusetts Ave","MAGOUN ST"," Massachusetts Ave & MAGOUN ST Cambridge, MA"
25688,3,5,2011,"01:00:00","AM","Saturday","Auto","Parked Vehicle",725,"Cambridge St","","725 Cambridge St Cambridge, MA"
25772,3,27,2011,"01:00:00","AM","Sunday","Auto","Auto","","Brattle St","LEXINGTON AVE"," Brattle St & LEXINGTON AVE Cambridge, MA"
25779,3,26,2011,"01:00:00","AM","Saturday","Auto","Parked Vehicle",3,"Bow St","","3 Bow St Cambridge, MA"
25961,5,15,2011,"01:00:00","AM","Sunday","Auto","Auto","","MONTGOMERY ST","DUDLEY ST"," MONTGOMERY ST & DUDLEY ST Cambridge, MA"
26079,6,11,2011,"01:00:00","AM","Saturday","Auto","Parked Vehicle",20,"ELIOT ST","","20 ELIOT ST Cambridge, MA"
26224,7,16,2011,"01:00:00","AM","Saturday","Auto","Parked Vehicle",193,"ELM ST","","193 ELM ST Cambridge, MA"
26254,7,19,2011,"01:00:00","AM","Tuesday","Auto","Parked Vehicle",77,"H","AMILTON ST",""
26402,8,26,2011,"01:00:00","AM","Friday","Auto","Auto","","ELLERY ST","Massachusetts Ave"," ELLERY ST & Massachusetts Ave Cambridge, MA"
26469,9,12,2011,"01:00:00","AM","Monday","Auto","Parked Vehicle",108,"REED ST","","108 REED ST Cambridge, MA"
26597,10,8,2011,"01:00:00","AM","Saturday","Auto","Bus (Other)","","Brookline St","Massachusetts Ave"," Brookline St & Massachusetts Ave Cambridge, MA"
26786,11,13,2011,"01:00:00","AM","Sunday","Auto","Parked Vehicle","","Cambridge St","Cardinal Medeiros Ave"," Cambridge St & Cardinal Medeiros Ave Cambridge, M"
29014,4,21,2013,"01:00:00","AM","Sunday","Auto","Auto",198,"Alewife Brook Pky","","198 Alewife Brook Pky Cambridge, MA"
29058,4,30,2013,"01:00:00","AM","Tuesday","Auto","Auto","","Columbia St","Hampshire St"," Columbia St & Hampshire St Cambridge, MA"
29481,8,8,2013,"01:00:00","AM","Thursday","Auto","Auto","","MAIN ST","Windsor St"," MAIN ST & Windsor St Cambridge, MA"
29638,9,14,2013,"01:00:00","AM","Saturday","Auto","Auto",872,"Massachusetts Ave","","872 Massachusetts Ave Cambridge, MA"
30220,1,1,2012,"01:00:00","AM","Sunday","Auto","Parked Vehicle","","Coolidge Ave",""," Coolidge Ave &  Cambridge, MA"
30314,1,24,2012,"01:00:00","AM","Tuesday","Taxi","Auto",188,"HARVARD ST","","188 HARVARD ST Cambridge, MA"
30544,3,25,2012,"01:00:00","AM","Sunday","Auto","Parked Vehicle",950,"Massachusetts Ave","","950 Massachusetts Ave Cambridge, MA"
30598,4,7,2012,"01:00:00","AM","Saturday","Bicycle","Parked Vehicle","","Western Ave","Massachusetts Ave"," Western Ave & Massachusetts Ave Cambridge, MA"
31312,9,20,2012,"01:00:00","AM","Thursday","Auto","Auto","","Cambridge St","LINE ST"," Cambridge St & LINE ST Cambridge, MA"
31398,10,7,2012,"01:00:00","AM","Sunday","Auto","Parked Vehicle","","FIFTH ST","Otis St"," FIFTH ST & Otis St Cambridge, MA"
