"id","Month","Day","Year","Location","Object_1","Object_2","Events"
23638,1,1,2010," Massachusetts Ave & Rindge Ave Cambridge, MA","Auto","Auto","Snow"
23638,1,1,2010," Massachusetts Ave & Rindge Ave Cambridge, MA","Auto","Auto","Snow"
23639,1,1,2010," Cambridge St & SCIARAPPA ST Cambridge, MA","Taxi","Auto","Snow"
23639,1,1,2010," Cambridge St & SCIARAPPA ST Cambridge, MA","Taxi","Auto","Snow"
23640,1,1,2010,"105 Coolidge Ave Cambridge, MA","Auto","Parked Vehicle","Snow"
23640,1,1,2010,"105 Coolidge Ave Cambridge, MA","Auto","Parked Vehicle","Snow"
23641,1,1,2010," Western Ave & HOWARD ST Cambridge, MA","Auto","Parked Vehicle","Snow"
23641,1,1,2010," Western Ave & HOWARD ST Cambridge, MA","Auto","Parked Vehicle","Snow"
23642,1,2,2010," MAGAZINE ST & PRINCE ST Cambridge, MA","Truck","Fixed Object","Fog-Snow"
23642,1,2,2010," MAGAZINE ST & PRINCE ST Cambridge, MA","Truck","Fixed Object","Fog-Snow"
23643,1,2,2010," River St & Putnam Ave Cambridge, MA","Auto","Auto","Fog-Snow"
23643,1,2,2010," River St & Putnam Ave Cambridge, MA","Auto","Auto","Fog-Snow"
23644,1,2,2010,"91 SHERMAN ST Cambridge, MA","Auto","Parked Vehicle","Fog-Snow"
23644,1,2,2010,"91 SHERMAN ST Cambridge, MA","Auto","Parked Vehicle","Fog-Snow"
23645,1,3,2010,"10 Clinton St Cambridge, MA","Auto","Auto","Fog-Snow"
23645,1,3,2010,"10 Clinton St Cambridge, MA","Auto","Auto","Fog-Snow"
23647,1,4,2010," Massachusetts Ave & EVERETT ST Cambridge, MA","Auto","Truck",""
23647,1,4,2010," Massachusetts Ave & EVERETT ST Cambridge, MA","Auto","Truck",""
23650,1,4,2010," Rogers St & FIRST ST Cambridge, MA","Auto","Auto",""
23650,1,4,2010," Rogers St & FIRST ST Cambridge, MA","Auto","Auto",""
23651,1,4,2010,"1575 Cambridge St Cambridge, MA","Auto","Parked Vehicle",""
23651,1,4,2010,"1575 Cambridge St Cambridge, MA","Auto","Parked Vehicle",""
23652,1,4,2010,"2360 Massachusetts Ave Cambridge, MA","Auto","Auto",""
23652,1,4,2010,"2360 Massachusetts Ave Cambridge, MA","Auto","Auto",""
23653,1,4,2010," HENRY ST & PEARL ST Cambridge, MA","Auto","Parked Vehicle",""
23653,1,4,2010," HENRY ST & PEARL ST Cambridge, MA","Auto","Parked Vehicle",""
23654,1,3,2010,"18 Belmont St Cambridge, MA","Auto","Parked Vehicle","Fog-Snow"
23654,1,3,2010,"18 Belmont St Cambridge, MA","Auto","Parked Vehicle","Fog-Snow"
23655,1,5,2010," Hampshire St & ELM ST Cambridge, MA","Auto","Auto",""
23655,1,5,2010," Hampshire St & ELM ST Cambridge, MA","Auto","Auto",""
23657,1,7,2010,"40 GRANITE ST Cambridge, MA","Auto","Parked Vehicle",""
23657,1,7,2010,"40 GRANITE ST Cambridge, MA","Auto","Parked Vehicle",""
23658,1,6,2010," Ames St &  Cambridge, MA","Auto","Parked Vehicle","Snow"
23658,1,6,2010," Ames St &  Cambridge, MA","Auto","Parked Vehicle","Snow"
23659,1,6,2010,"16 MEAD ST Cambridge, MA","Auto","Parked Vehicle","Snow"
23659,1,6,2010,"16 MEAD ST Cambridge, MA","Auto","Parked Vehicle","Snow"
23660,1,7,2010,"16 MAGNOLIA AVE Cambridge, MA","Auto","Parked Vehicle",""
23660,1,7,2010,"16 MAGNOLIA AVE Cambridge, MA","Auto","Parked Vehicle",""
23661,1,7,2010," Wheeler St &  Cambridge, MA","Auto","Fixed Object",""
23661,1,7,2010," Wheeler St &  Cambridge, MA","Auto","Fixed Object",""
23663,1,7,2010," Massachusetts Ave & Shepard St Cambridge, MA","Auto","Auto",""
23663,1,7,2010," Massachusetts Ave & Shepard St Cambridge, MA","Auto","Auto",""
23664,1,7,2010," Peabody St & Massachusetts Ave Cambridge, MA","Taxi","Truck",""
23664,1,7,2010," Peabody St & Massachusetts Ave Cambridge, MA","Taxi","Truck",""
23665,1,8,2010,"57 Inman St Cambridge, MA","Auto","Auto","Snow"
