"id","Month","Day","Year","Location","Events"
23638,1,1,2010," Massachusetts Ave & Rindge Ave Cambridge, MA","Snow"
23638,1,1,2010," Massachusetts Ave & Rindge Ave Cambridge, MA","Snow"
23639,1,1,2010," Cambridge St & SCIARAPPA ST Cambridge, MA","Snow"
23639,1,1,2010," Cambridge St & SCIARAPPA ST Cambridge, MA","Snow"
23640,1,1,2010,"105 Coolidge Ave Cambridge, MA","Snow"
23640,1,1,2010,"105 Coolidge Ave Cambridge, MA","Snow"
23641,1,1,2010," Western Ave & HOWARD ST Cambridge, MA","Snow"
23641,1,1,2010," Western Ave & HOWARD ST Cambridge, MA","Snow"
23642,1,2,2010," MAGAZINE ST & PRINCE ST Cambridge, MA","Fog-Snow"
23642,1,2,2010," MAGAZINE ST & PRINCE ST Cambridge, MA","Fog-Snow"
23643,1,2,2010," River St & Putnam Ave Cambridge, MA","Fog-Snow"
23643,1,2,2010," River St & Putnam Ave Cambridge, MA","Fog-Snow"
23644,1,2,2010,"91 SHERMAN ST Cambridge, MA","Fog-Snow"
23644,1,2,2010,"91 SHERMAN ST Cambridge, MA","Fog-Snow"
23645,1,3,2010,"10 Clinton St Cambridge, MA","Fog-Snow"
23645,1,3,2010,"10 Clinton St Cambridge, MA","Fog-Snow"
23647,1,4,2010," Massachusetts Ave & EVERETT ST Cambridge, MA",""
23647,1,4,2010," Massachusetts Ave & EVERETT ST Cambridge, MA",""
23650,1,4,2010," Rogers St & FIRST ST Cambridge, MA",""
23650,1,4,2010," Rogers St & FIRST ST Cambridge, MA",""
23651,1,4,2010,"1575 Cambridge St Cambridge, MA",""
23651,1,4,2010,"1575 Cambridge St Cambridge, MA",""
23652,1,4,2010,"2360 Massachusetts Ave Cambridge, MA",""
23652,1,4,2010,"2360 Massachusetts Ave Cambridge, MA",""
23653,1,4,2010," HENRY ST & PEARL ST Cambridge, MA",""
23653,1,4,2010," HENRY ST & PEARL ST Cambridge, MA",""
23654,1,3,2010,"18 Belmont St Cambridge, MA","Fog-Snow"
23654,1,3,2010,"18 Belmont St Cambridge, MA","Fog-Snow"
23655,1,5,2010," Hampshire St & ELM ST Cambridge, MA",""
23655,1,5,2010," Hampshire St & ELM ST Cambridge, MA",""
23657,1,7,2010,"40 GRANITE ST Cambridge, MA",""
23657,1,7,2010,"40 GRANITE ST Cambridge, MA",""
23658,1,6,2010," Ames St &  Cambridge, MA","Snow"
