"Month","Day","Year","Location","Object_1","Object_2","Events"
1,1,2010," Massachusetts Ave & Rindge Ave Cambridge, MA","Auto","Auto","Snow"
1,1,2010," Massachusetts Ave & Rindge Ave Cambridge, MA","Auto","Auto","Snow"
1,1,2010," Cambridge St & SCIARAPPA ST Cambridge, MA","Taxi","Auto","Snow"
1,1,2010," Cambridge St & SCIARAPPA ST Cambridge, MA","Taxi","Auto","Snow"
1,1,2010,"105 Coolidge Ave Cambridge, MA","Auto","Parked Vehicle","Snow"
1,1,2010,"105 Coolidge Ave Cambridge, MA","Auto","Parked Vehicle","Snow"
1,1,2010," Western Ave & HOWARD ST Cambridge, MA","Auto","Parked Vehicle","Snow"
1,1,2010," Western Ave & HOWARD ST Cambridge, MA","Auto","Parked Vehicle","Snow"
1,2,2010," MAGAZINE ST & PRINCE ST Cambridge, MA","Truck","Fixed Object","Fog-Snow"
1,2,2010," MAGAZINE ST & PRINCE ST Cambridge, MA","Truck","Fixed Object","Fog-Snow"
1,2,2010," River St & Putnam Ave Cambridge, MA","Auto","Auto","Fog-Snow"
1,2,2010," River St & Putnam Ave Cambridge, MA","Auto","Auto","Fog-Snow"
1,2,2010,"91 SHERMAN ST Cambridge, MA","Auto","Parked Vehicle","Fog-Snow"
1,2,2010,"91 SHERMAN ST Cambridge, MA","Auto","Parked Vehicle","Fog-Snow"
1,3,2010,"10 Clinton St Cambridge, MA","Auto","Auto","Fog-Snow"
1,3,2010,"10 Clinton St Cambridge, MA","Auto","Auto","Fog-Snow"
1,4,2010," Massachusetts Ave & EVERETT ST Cambridge, MA","Auto","Truck",""
1,4,2010," Massachusetts Ave & EVERETT ST Cambridge, MA","Auto","Truck",""
1,4,2010," Rogers St & FIRST ST Cambridge, MA","Auto","Auto",""
1,4,2010," Rogers St & FIRST ST Cambridge, MA","Auto","Auto",""
1,4,2010,"1575 Cambridge St Cambridge, MA","Auto","Parked Vehicle",""
1,4,2010,"1575 Cambridge St Cambridge, MA","Auto","Parked Vehicle",""
1,4,2010,"2360 Massachusetts Ave Cambridge, MA","Auto","Auto",""
1,4,2010,"2360 Massachusetts Ave Cambridge, MA","Auto","Auto",""
1,4,2010," HENRY ST & PEARL ST Cambridge, MA","Auto","Parked Vehicle",""
1,4,2010," HENRY ST & PEARL ST Cambridge, MA","Auto","Parked Vehicle",""
1,3,2010,"18 Belmont St Cambridge, MA","Auto","Parked Vehicle","Fog-Snow"
1,3,2010,"18 Belmont St Cambridge, MA","Auto","Parked Vehicle","Fog-Snow"
1,5,2010," Hampshire St & ELM ST Cambridge, MA","Auto","Auto",""
1,5,2010," Hampshire St & ELM ST Cambridge, MA","Auto","Auto",""
1,7,2010,"40 GRANITE ST Cambridge, MA","Auto","Parked Vehicle",""
1,7,2010,"40 GRANITE ST Cambridge, MA","Auto","Parked Vehicle",""
1,6,2010," Ames St &  Cambridge, MA","Auto","Parked Vehicle","Snow"
1,6,2010," Ames St &  Cambridge, MA","Auto","Parked Vehicle","Snow"
1,6,2010,"16 MEAD ST Cambridge, MA","Auto","Parked Vehicle","Snow"
1,6,2010,"16 MEAD ST Cambridge, MA","Auto","Parked Vehicle","Snow"
1,7,2010,"16 MAGNOLIA AVE Cambridge, MA","Auto","Parked Vehicle",""
1,7,2010,"16 MAGNOLIA AVE Cambridge, MA","Auto","Parked Vehicle",""
1,7,2010," Wheeler St &  Cambridge, MA","Auto","Fixed Object",""
1,7,2010," Wheeler St &  Cambridge, MA","Auto","Fixed Object",""
1,7,2010," Massachusetts Ave & Shepard St Cambridge, MA","Auto","Auto",""
1,7,2010," Massachusetts Ave & Shepard St Cambridge, MA","Auto","Auto",""
1,7,2010," Peabody St & Massachusetts Ave Cambridge, MA","Taxi","Truck",""
1,7,2010," Peabody St & Massachusetts Ave Cambridge, MA","Taxi","Truck",""
1,8,2010,"57 Inman St Cambridge, MA","Auto","Auto","Snow"
1,8,2010,"57 Inman St Cambridge, MA","Auto","Auto","Snow"
1,8,2010," Western Ave & Franklin St Cambridge, MA","Auto","Auto","Snow"
1,8,2010," Western Ave & Franklin St Cambridge, MA","Auto","Auto","Snow"
1,8,2010," Cambridge St & Hampshire St Cambridge, MA","Auto","Truck","Snow"
1,8,2010," Cambridge St & Hampshire St Cambridge, MA","Auto","Truck","Snow"
1,8,2010,"220 Massachusetts Ave Cambridge, MA","Auto","Auto","Snow"
1,8,2010,"220 Massachusetts Ave Cambridge, MA","Auto","Auto","Snow"
1,8,2010," Shepard St &  Cambridge, MA","Auto","Parked Vehicle","Snow"
1,8,2010," Shepard St &  Cambridge, MA","Auto","Parked Vehicle","Snow"
1,10,2010," Cambridge St & Cardinal Medeiros Ave Cambridge, M","Auto","Auto",""
1,10,2010," Cambridge St & Cardinal Medeiros Ave Cambridge, M","Auto","Auto",""
1,8,2010," Chestnut St & MAGAZINE ST Cambridge, MA","Auto","Parked Vehicle","Snow"
1,8,2010," Chestnut St & MAGAZINE ST Cambridge, MA","Auto","Parked Vehicle","Snow"
1,9,2010,"281 Broadway Cambridge, MA","Taxi","Fixed Object",""
1,9,2010,"281 Broadway Cambridge, MA","Taxi","Fixed Object",""
1,10,2010," HARVARD ST & QUINCY ST Cambridge, MA","Auto","Bicycle",""
1,10,2010," HARVARD ST & QUINCY ST Cambridge, MA","Auto","Bicycle",""
1,3,2010,"169 Monsignor OBrien Hwy Cambridge, MA","Auto","Parked Vehicle","Fog-Snow"
1,3,2010,"169 Monsignor OBrien Hwy Cambridge, MA","Auto","Parked Vehicle","Fog-Snow"
1,12,2010," STANDISH ST & HURON AVE Cambridge, MA","Auto","Auto",""
1,12,2010," STANDISH ST & HURON AVE Cambridge, MA","Auto","Auto",""
1,8,2010,"32 Albany St Cambridge, MA","Auto","Auto","Snow"
1,8,2010,"32 Albany St Cambridge, MA","Auto","Auto","Snow"
1,11,2010," Massachusetts Ave &  Cambridge, MA","Auto","Parked Vehicle",""
1,11,2010," Massachusetts Ave &  Cambridge, MA","Auto","Parked Vehicle",""
1,13,2010," Cambridge St & QUINCY ST Cambridge, MA","Auto","Auto","Snow"
1,13,2010," Cambridge St & QUINCY ST Cambridge, MA","Auto","Auto","Snow"
